title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
"Sparrow's Nest*, The",126,20,11,64,31,0,0,6,4,65,8,12
"Windy Gap (reel), The",150,59,2,63,26,0,0,10,3,64,17,2
"Piper's Chair, The",117,14,9,64,30,0,0,6,3,65,6,10
O'Connell's Farewell to Dublin (reel),195,37,11,96,51,0,0,11,5,97,10,11
"Fairy Queen (hornpipe), The",221,112,3,63,43,0,0,14,6,64,35,3
Bonnie Kate (second version) (reel),327,118,10,127,72,0,0,15,8,128,31,11
Cloone (reel),142,48,3,63,28,0,0,11,4,64,14,4
"Wise Maid (reel), The",162,61,10,63,28,0,0,12,4,64,17,8
"Duke of Leinster (reel), The",65,9,5,32,19,0,0,5,2,33,3,5
"King of Jigs*, The",211,15,11,128,57,0,0,6,2,129,8,11
Bashful Bachelor 1 (hornpipe),168,65,7,64,32,0,0,15,3,65,16,7
"Spey in Spate (reel), The",167,67,6,65,29,0,0,16,3,66,18,6
Paddy O'Brien's Hornpipe,123,62,4,32,25,0,0,14,3,33,16,4
"Pride of Kildare (reel), The",87,33,3,32,19,0,0,8,4,33,10,3
John Slattery's Reel,171,64,5,66,36,0,0,9,5,67,21,5
All Round the Room (reel),92,36,5,31,20,0,0,10,2,32,9,5
"Rose in the Heather, The",144,42,6,64,32,0,0,11,4,65,16,9
James Gannon's Delight*,131,35,4,64,28,0,0,7,4,65,16,7
Stoney Batter,137,28,11,62,36,0,0,10,3,63,11,12
Mickey Callaghan's Jig,154,39,12,62,41,0,0,10,6,63,14,13
Colonel Rogers (reel),112,54,2,31,25,0,0,12,4,32,15,3
"Horse Hill Slide*, The",135,27,10,63,35,0,0,9,4,64,11,12
Two Birds in the Tree (reel),173,74,4,64,31,0,0,12,3,65,21,4
"Foghorn Hornpipe*, The",156,60,3,64,29,0,0,15,5,65,18,3
Dillon Brown (reel),158,57,6,64,31,0,0,9,3,65,18,6
Pigeons Wait for Easter (reel),89,39,1,31,18,0,0,11,2,32,11,2
"Merry Harriers (reel), The",82,30,2,32,18,0,0,8,5,33,8,2
"Plains of Boyle (hornpipe), The",163,64,4,64,31,0,0,12,4,65,18,4
"Portrush Jig, The",96,24,5,47,20,0,0,10,3,48,7,7
"Loo Bridge Jig*, The",102,8,5,64,25,0,0,3,2,65,5,5
Carey's Dream (reel),128,60,8,32,28,0,0,12,3,33,16,8
"Empire State Reel* #1, The",112,53,2,31,26,0,0,11,4,32,16,2
"Humors of Tirconnell* (reel), The",109,13,8,64,24,0,0,5,3,65,4,8
Up and About In the Morning* (slide),159,53,4,63,39,0,0,10,3,64,25,5
"Mossy Banks (b) (reel), The",225,79,7,95,44,0,0,12,5,96,23,9
"Kaiser (slide), The",145,38,6,67,34,0,0,11,4,68,17,7
Tonra's Jig,121,18,11,64,28,0,0,8,5,65,6,11
"Piper's Lord McDonald (reel), The",103,51,1,31,20,0,0,10,2,32,14,1
Orange and Green,108,10,6,64,28,0,0,4,3,65,5,8
"Tenpenny Piece, The",92,12,8,48,24,0,0,6,3,49,6,8
Frazer's Reel,97,45,1,31,20,0,0,12,4,32,11,1
Two and Sixpenny Girl,201,43,12,96,50,0,0,12,4,97,15,16
Austin Tierney's  (reel),231,98,14,63,56,0,0,14,5,64,30,13
"Fairhaired Boy (reel), The",155,60,4,63,28,0,0,11,4,64,17,3
"Crosses of Annagh* 2 (reel), The",146,48,4,64,30,0,0,10,4,65,16,5
Roaring Mary (reel),134,47,3,63,21,0,0,11,2,64,13,3
Margot Jackson (reel),146,46,7,64,29,0,0,12,2,65,14,9
McDonagh's Reel 1,121,63,3,30,25,0,0,11,4,31,17,4
Sheahan's Fancy*,106,10,6,64,26,0,0,5,2,65,5,7
"Butcher's March [i], The",107,11,5,64,27,0,0,4,2,65,7,5
"Pinch of Snuff (reel), The",256,105,8,84,59,0,0,17,6,85,30,10
Elizabeth Kelly's,125,31,4,63,27,0,0,10,3,64,12,5
Bridget Flynn's (reel),101,43,4,32,22,0,0,10,4,33,14,4
"Limestone Rock (reel), The",108,46,5,32,25,0,0,11,3,33,14,5
Knocknaboul Polka (1),172,18,12,96,46,0,0,6,3,97,5,14
Molly Maguire (reel),127,66,5,31,25,0,0,14,4,32,19,6
"Climbing Vine (reel), The",91,40,1,31,19,0,0,11,4,32,10,1
Nine Mile House* (reel),189,73,2,79,35,0,0,13,3,80,23,3
"Hen and Her Clutch (reel), The",104,48,4,30,22,0,0,11,5,31,16,3
